eqs,tpb,gpuA,nX,time,Speed
EulerClassic,128,10.0,99840,643.24474335,155.21308340591509
EulerClassic,128,10.0,130560,787.12346337,165.86978546036326
EulerClassic,128,10.0,199680,1193.91614741,167.24792644204717
EulerClassic,128,10.0,261120,1564.03996728,166.95225535323763
EulerClassic,128,10.0,391680,2285.27506915,171.39293439440706
EulerClassic,128,10.0,529920,3079.32541587,172.08963926609945
EulerClassic,128,10.0,791040,4589.24367211,172.36827166257288
EulerClassic,128,10.0,1052160,6076.25545155,173.15927685884293
EulerClassic,128,10.0,1574400,11393.78179203,138.18063473019112
EulerClassic,128,10.0,2096640,21505.26870381,97.494247985311
EulerClassic,128,10.0,3148800,36553.49163575,86.1422495934811
EulerClassic,128,10.0,4193280,47258.79348408,88.73015349857765
EulerClassic,128,10.0,6289920,70807.90671434,88.83075763523689
EulerClassic,128,10.0,8394240,94735.47072843,88.60714931224699
EulerClassic,128,10.0,12587520,142348.57910328,88.42743692486887
EulerClassic,128,12.0,65536,434.04782902,150.98796864845104
EulerClassic,128,12.0,98304,602.03998739,163.2848349927277
EulerClassic,128,12.0,131072,746.84598229,175.50070979575113
EulerClassic,128,12.0,196608,1111.36999997,176.90598091122416
EulerClassic,128,12.0,262144,1473.68548133,177.8832751771533
EulerClassic,128,12.0,393216,2160.65415469,181.98932908650377
EulerClassic,128,12.0,524288,2844.82162649,184.29556184402233
EulerClassic,128,12.0,786432,4747.86363948,165.6391294519428
EulerClassic,128,12.0,1048576,5698.92129031,183.99552241279707
EulerClassic,128,12.0,1572864,9457.18778263,166.31413440778627
EulerClassic,128,12.0,2097152,19343.00890836,108.4191197933852
EulerClassic,128,12.0,3145728,32986.81944066,95.36318000160188
EulerClassic,128,12.0,4194304,44263.15342296,94.75836391323054
EulerClassic,128,12.0,6291456,66606.82344436,94.45662883556618
EulerClassic,128,12.0,8388608,89302.04725265,93.93522610144944
EulerClassic,128,12.0,12582912,132569.80982692,94.9153658470805
EulerClassic,128,14.0,69632,447.96800613,155.4396721354088
EulerClassic,128,14.0,104448,616.23092131,169.49490262183156
EulerClassic,128,14.0,130560,716.85708653,182.12835229401915
EulerClassic,128,14.0,200192,1062.15728413,188.4767943421626
EulerClassic,128,14.0,261120,1357.68092762,192.3279576871869
EulerClassic,128,14.0,391680,2027.63310346,193.171042301306
EulerClassic,128,14.0,522240,2667.59764064,195.77165313233152
EulerClassic,128,14.0,792064,4071.15888596,194.55492212095947
EulerClassic,128,14.0,1053184,5492.18238484,191.7605655098218
EulerClassic,128,14.0,1575424,8819.90198655,178.62148608935328
EulerClassic,128,14.0,2097664,17374.75000728,120.73060038970813
EulerClassic,128,14.0,3150848,31071.64109837,101.40590868775487
EulerClassic,128,14.0,4195328,41663.45873746,100.69562458644226
EulerClassic,128,14.0,6292992,62909.76108204,100.03204418140089
EulerClassic,128,14.0,8390656,83592.16633709,100.37610421728058
EulerClassic,128,14.0,12585984,124734.23524335,100.90240241939512
EulerClassic,128,16.0,64512,436.43782356,147.81486965034117
EulerClassic,128,16.0,101376,659.38381715,153.74353656140528
EulerClassic,128,16.0,129024,728.20399024,177.18112195111223
EulerClassic,128,16.0,202752,1064.84928998,190.4044092510106
EulerClassic,128,16.0,267264,1353.91417417,197.40099121411652
EulerClassic,128,16.0,396288,1993.54401502,198.78567867789178
EulerClassic,128,16.0,525312,2590.09036151,202.8160900509076
EulerClassic,128,16.0,792576,3886.66491075,203.92187600424205
EulerClassic,128,16.0,1050624,5082.23069798,206.72497224842323
EulerClassic,128,16.0,1575936,7856.81325739,200.582086957164
EulerClassic,128,16.0,2101248,15527.58602662,135.32354587491497
EulerClassic,128,16.0,3151872,29266.12710952,107.69692854148526
EulerClassic,128,16.0,4193280,40198.54705983,104.3142179680992
EulerClassic,128,16.0,6294528,59486.60018227,105.81421665910042
EulerClassic,128,16.0,8386560,78834.78745546,106.38146268534345
EulerClassic,128,16.0,12589056,118227.70690917,106.48143594353657
EulerClassic,128,18.0,68096,358.49527879,189.94950290513978
EulerClassic,128,18.0,97280,484.84490134,200.64148293844158
EulerClassic,128,18.0,136192,656.34783832,207.49973116175644
EulerClassic,128,18.0,194560,918.65708611,211.78740461672484
EulerClassic,128,18.0,262656,1225.40330887,214.34249287461694
EulerClassic,128,18.0,398848,1833.96092328,217.47900674277665
EulerClassic,128,18.0,525312,2407.75325082,218.1751804596656
EulerClassic,128,18.0,787968,3609.86055027,218.28211617234462
EulerClassic,128,18.0,1050624,4797.80218818,218.98026612859255
EulerClassic,128,18.0,1575936,7665.53037817,205.58733998210633
EulerClassic,128,18.0,2101248,13841.171308,151.81142933947422
EulerClassic,128,18.0,3151872,27927.51780423,112.85900960101102
EulerClassic,128,18.0,4192768,37408.28544443,112.08126622719332
EulerClassic,128,18.0,6294016,56200.24199919,111.99268501531922
EulerClassic,128,18.0,8395264,74893.0625482,112.09668445053825
EulerClassic,128,18.0,12588032,112003.40873544,112.38972226045213
EulerClassic,128,20.0,71680,366.86637185,195.38449282919743
EulerClassic,128,20.0,102400,486.93782633,210.29378796011434
EulerClassic,128,20.0,133120,608.5821932,218.7379149232722
EulerClassic,128,20.0,194560,874.65888804,222.44100261301222
EulerClassic,128,20.0,266240,1178.14783616,225.98182658279134
EulerClassic,128,20.0,399360,1770.27255839,225.59238017178762
EulerClassic,128,20.0,522240,2275.30180324,229.52559491507327
EulerClassic,128,20.0,788480,3417.69799319,230.70499545925387
EulerClassic,128,20.0,1054720,4565.97601284,230.99551925678486
EulerClassic,128,20.0,1576960,9118.62763491,172.9383042205522
EulerClassic,128,20.0,2099200,12052.21202157,174.1754954395952
EulerClassic,128,20.0,3143680,25563.39198892,122.97585552662856
EulerClassic,128,20.0,4198400,35659.93673151,117.73436480301407
EulerClassic,128,20.0,6297600,53444.57054138,117.83423341617123
EulerClassic,128,20.0,8386560,70977.41599516,118.15814766448929
EulerClassic,128,20.0,12584960,106664.15908119,117.98677370550172
EulerClassic,192,0.0,69120,652.23399076,105.9742377416724
EulerClassic,192,0.0,99840,917.01581261,108.87489466058008
EulerClassic,192,0.0,130560,1648.59255877,79.19482549248532
EulerClassic,192,0.0,199680,2440.21836194,81.82874250698296
EulerClassic,192,0.0,261120,3481.78291321,74.9960599235817
EulerClassic,192,0.0,391680,3407.10856698,114.95964754277793
EulerClassic,192,0.0,529920,4612.41856488,114.8898332937368
EulerClassic,192,0.0,791040,6856.2503728,115.37501651605379
EulerClassic,192,0.0,1052160,10293.81669651,102.21281678317845
EulerClassic,192,0.0,1574400,25404.37290885,61.97358248711323
EulerClassic,192,0.0,2096640,35414.81781005,59.202337599066134
EulerClassic,192,0.0,3148800,53300.59675736,59.07626164739326
EulerClassic,192,0.0,4193280,70673.30312728,59.333295805462186
EulerClassic,192,0.0,6289920,106142.08620244,59.25943445282883
EulerClassic,192,0.0,8394240,142133.01563261,59.05904383044754
EulerClassic,192,0.0,12587520,213321.41945576,59.00729533918408
EulerClassic,192,2.0,67584,585.7167244,115.38683664741194
EulerClassic,192,2.0,101376,847.15253657,119.66676085331336
EulerClassic,192,2.0,135168,1095.43709321,123.39184133697005
EulerClassic,192,2.0,202752,1632.81674819,124.173150615189
EulerClassic,192,2.0,261888,2112.25487969,123.98503727847245
EulerClassic,192,2.0,397056,3156.94960681,125.77204246260136
EulerClassic,192,2.0,523776,4154.06747298,126.08750421289118
EulerClassic,192,2.0,785664,6162.8538045,127.48379645584372
EulerClassic,192,2.0,1047552,10133.82053375,103.37187209021506
EulerClassic,192,2.0,1571328,22018.67814497,71.36341199296552
EulerClassic,192,2.0,2095104,31938.64289197,65.59777781061418
EulerClassic,192,2.0,3151104,48491.88800291,64.98208524714283
EulerClassic,192,2.0,4198656,64505.76383417,65.08962533633138
EulerClassic,192,2.0,6293760,96439.5940087,65.26116233372184
EulerClassic,192,2.0,8388864,129067.34219463,64.99602345068689
EulerClassic,192,2.0,12587520,192848.96052965,65.2713914839313
EulerClassic,192,4.0,64512,620.64782056,103.94300578030213
EulerClassic,192,4.0,101376,899.95778691,112.64528345054264
EulerClassic,192,4.0,129024,1077.92524858,119.69661177337592
EulerClassic,192,4.0,202752,1675.60126565,121.00253452682155
EulerClassic,192,4.0,267264,2901.56871622,92.11017423298402
EulerClassic,192,4.0,396288,4437.64439496,89.30143218552601
EulerClassic,192,4.0,525312,4520.7324028,116.20064033753428
EulerClassic,192,4.0,792576,6444.52238083,122.98444371263444
EulerClassic,192,4.0,1050624,8493.79418113,123.69313143166211
EulerClassic,192,4.0,1575936,19267.64596592,81.7918287883982
EulerClassic,192,4.0,2101248,29266.00798693,71.79824460303583
EulerClassic,192,4.0,3151872,44408.16944295,70.97504895015155
EulerClassic,192,4.0,4193280,59125.99745663,70.92108683791504
EulerClassic,192,4.0,6294528,88948.04234937,70.76634666422856
EulerClassic,192,4.0,8386560,118661.49546882,70.67633832580248
EulerClassic,192,4.0,12589056,176898.15126764,71.1655600117225
EulerClassic,192,6.0,69888,542.86870089,128.73831164961786
EulerClassic,192,6.0,99840,722.6285501,138.16226882564186
EulerClassic,192,6.0,129792,899.19185638,144.34294425499075
EulerClassic,192,6.0,199680,1387.91309703,143.87067924302747
EulerClassic,192,6.0,269568,1817.56999276,148.31230768211464
EulerClassic,192,6.0,399360,2695.23217461,148.17276365357554
EulerClassic,192,6.0,529152,3519.39890601,150.35294779923322
EulerClassic,192,6.0,788736,5262.52508163,149.87786048816304
EulerClassic,192,6.0,1048320,7215.97506783,145.27766381477431
EulerClassic,192,6.0,1577472,16067.3438419,98.1787665417547
EulerClassic,192,6.0,2096640,26243.49507418,79.89179772258332
EulerClassic,192,6.0,3144960,41515.67272706,75.75355988270205
EulerClassic,192,6.0,4193280,54477.6092876,76.97254073435377
EulerClassic,192,6.0,6289920,81734.89505594,76.95513642851233
EulerClassic,192,6.0,8386560,108705.24978636,77.14953984726797
EulerClassic,192,6.0,12589824,163560.94091587,76.97329160313258
EulerClassic,192,8.0,64512,467.53181111,137.98419373183944
EulerClassic,192,8.0,96768,661.48671237,146.28865280346434
EulerClassic,192,8.0,129024,832.42143284,154.99841175377298
EulerClassic,192,8.0,204288,1335.47032963,152.9708264328113
EulerClassic,192,8.0,268800,1699.06963002,158.20422850877273
EulerClassic,192,8.0,397824,2497.10252068,159.31424389082204
EulerClassic,192,8.0,526848,3272.3086964,161.00192520944216
EulerClassic,192,8.0,784896,4852.62307254,161.74674774176583
EulerClassic,192,8.0,1053696,6535.28764031,161.23177096303266
EulerClassic,192,8.0,1580544,13896.38402245,113.73778944555552
EulerClassic,192,8.0,2096640,24859.51779105,84.33952812853188
EulerClassic,192,8.0,3150336,38040.26725075,82.81582196134251
EulerClassic,192,8.0,4193280,50486.79182746,83.056970906978
EulerClassic,192,8.0,6289920,76683.64984338,82.02426479238586
EulerClassic,192,8.0,8386560,101176.86020243,82.89009940830894
EulerClassic,192,8.0,12590592,151920.64181239,82.87611117091242
EulerClassic,192,10.0,69120,481.02417859,143.6934006157605
EulerClassic,192,10.0,103680,669.19998689,154.93126424260143
EulerClassic,192,10.0,138240,851.61672939,162.32654341938442
EulerClassic,192,10.0,195840,1242.83690886,157.5749791496259
EulerClassic,192,10.0,264960,1568.64508716,168.91010093284052
EulerClassic,192,10.0,391680,2290.3065248,171.0164101437048
EulerClassic,192,10.0,529920,3060.95019254,173.1227124477541
EulerClassic,192,10.0,794880,4612.86856911,172.3179379796123
EulerClassic,192,10.0,1048320,6047.19361392,173.35644712728865
EulerClassic,192,10.0,1578240,11567.7150813,136.43489564774399
EulerClassic,192,10.0,2096640,21825.51561702,96.06370987015747
EulerClassic,192,10.0,3144960,35297.34871604,89.0990432539442
EulerClassic,192,10.0,4193280,47010.19382476,89.19937696133097
EulerClassic,192,10.0,6289920,70831.28326589,88.80144069095267
EulerClassic,192,10.0,8386560,94320.05253704,88.91598100739556
EulerClassic,192,10.0,12591360,142262.15236836,88.50815055431706
EulerClassic,192,12.0,73728,473.19238836,155.80977592544977
EulerClassic,192,12.0,98304,603.30347581,162.94287028268198
EulerClassic,192,12.0,135168,769.16798678,175.73274281195637
EulerClassic,192,12.0,196608,1112.66851425,176.69952684203042
EulerClassic,192,12.0,270336,1489.86708034,181.44974378406098
EulerClassic,192,12.0,393216,2200.09582693,178.72676052874078
EulerClassic,192,12.0,528384,2879.3054494,183.51092278525246
EulerClassic,192,12.0,786432,4286.36035052,183.47314170741478
EulerClassic,192,12.0,1056768,5733.14181241,184.32615738067256
EulerClassic,192,12.0,1572864,9462.21147884,166.2258345754942
EulerClassic,192,12.0,2101248,18456.86127923,113.84644269741521
EulerClassic,192,12.0,3145728,33101.3839895,95.03312613750072
EulerClassic,192,12.0,4202496,44375.97036361,94.70206432817992
